DMA,Sector,Household,Non-household
955,S63 7,1283,89
957,YO21 3,1201,59
958,BD22 8,408,40
959,BD2 3,1107,14
960,HU18 1,1735,84
961,S2 1,999,47
962,HU11 4,206,32
963,LS22 6,593,12
963,LS22 7,469,94
965,HD5 8,1472,40
966,LS2 9,562,60
967,HX5 0,841,18
968,S60 5,539,22
968,S9 1,123,24
969,HU11 4,709,17
971,WF12 7,1176,17
971,WF12 8,191,10
972,S73 0,1127,24
972,S73 8,853,7
973,BD23 6,480,9
974,WF8 3,842,18
976,HD6 3,660,31
977,BD6 3,2787,89
977,BD7 4,1301,20
978,HD3 3,642,15
979,BD10 0,902,18
979,BD10 8,195,24
980,YO26 5,1280,8
981,WF10 1,973,93
982,YO12 4,1007,7
983,S25 1,439,11
983,S25 2,655,17
984,YO62 7,37,19
985,HD8 8,275,43
986,LS15 4,1090,48
987,YO25 4,183,32
989,YO17 6,26,17
989,YO17 8,42,14
990,BD6 1,573,6
992,BD12 8,803,15
992,BD12 9,1370,41
992,BD19 6,65,6
992,HD6 4,291,6
994,YO62 5,103,41
994,YO62 7,376,58
995,BD23 6,440,37
996,LS8 5,255,62
997,DN2 6,661,29
997,DN4 5,269,25
998,LS28 6,141,20
1000,HD8 9,69,17
1001,YO31 9,611,10
1002,HU6 9,1310,27
1003,YO30 6,1336,26
1004,DN12 1,1184,76
1005,LS21 2,1726,31
1006,S6 4,744,56
1007,DL8 5,124,43
1008,LS9 6,363,14
1009,DN2 4,466,26
1009,DN3 2,2386,55
1010,HG3 2,80,17
1010,HG3 4,25,17
1011,S72 9,776,21
1012,HU5 1,203,25
1012,HU5 2,656,54
1013,HD1 1,80,27
1015,DN14 7,1950,177
1016,HU5 2,1098,76
1017,DN3 1,3266,111
1019,YO25 9,27,15
1022,S26 3,1024,22
1022,S26 4,222,6
1024,HU7 5,515,10
1025,DN14 7,24,14
1025,YO8 6,544,54
1026,S60 4,1662,23
1027,HU5 3,2455,118
1027,HU5 4,209,11
1028,HD8 9,1015,94
1029,HU10 7,421,8
1029,HU14 3,1802,54
1030,YO41 4,331,36
1030,YO41 5,748,57
1030,YO42 4,53,16
1031,HG2 0,886,20
1031,HG2 9,833,14
1032,S60 2,508,24
1032,S60 3,955,14
1032,S60 4,30,11
1033,S25 5,1119,20
1033,S26 6,63,11
1033,S80 3,155,17
1034,BD23 3,791,67
1035,DL8 2,273,52
1035,YO7 4,220,49
1036,LS18 4,1004,106
1037,LS8 4,348,7
1038,LS8 2,324,13
1039,YO42 1,89,33
1040,S25 4,1069,25
1042,S71 2,1647,32
1043,YO18 7,272,68
1043,YO18 8,1529,113
1044,S65 1,1380,112
1045,LS16 6,1437,35
1046,BD18 3,486,254
1047,WF4 4,409,34
1048,WF3 1,2030,63
1048,WF3 2,1851,77
1049,LS6 3,1386,116
1051,S62 7,187,26
1052,YO43 3,930,9
1052,YO43 4,48,30
1053,HX4 0,61,11
1054,LS25 4,834,32
1055,YO25 9,477,54
1056,LS27 7,1516,30
1057,LS24 9,822,59
1061,WF13 2,202,12
1062,WF4 4,611,26
1063,YO61 1,72,26
1063,YO61 4,30,23
1065,S71 1,312,56
1065,S71 3,170,33
1066,LS15 9,681,20
1067,HD3 3,852,40
1067,HD3 4,479,15
1068,DN4 0,822,16
1069,WF7 6,1453,26
1070,LS9 9,50,11
1071,HU11 4,539,73
1072,BD12 7,279,10
1072,BD12 8,695,33
1072,BD12 9,879,69
1073,S64 0,250,26
1073,S64 9,1184,37
1074,DN17 3,120,10
1074,DN17 4,91,10
1076,LS27 0,1558,63
1077,YO8 4,1661,56
1079,LS17 9,281,14
1080,BD5 0,1645,38
1080,BD5 7,292,36
1081,S75 1,474,34
1082,S11 8,414,40
1082,S11 9,624,31
1082,S7 1,1216,47
1083,HU14 3,1424,39
1084,S10 4,784,22
1085,YO18 7,1463,212
1085,YO18 8,23,6
1086,DL6 2,889,69
1087,LS25 6,1058,7
1088,WF9 3,2296,74
1089,S35 8,1045,33
1091,WF17 6,152,7
1091,WF17 7,280,9
1092,S13 7,1326,77
1093,HG3 4,28,15
1094,WF1 2,514,26
1094,WF1 3,352,32
1095,S5 6,703,16
1096,HX7 5,654,14
1098,DL11 6,112,12
1099,HU12 8,182,13
1100,DL10 7,974,49
1100,DL7 0,38,13
1101,LS8 2,253,18
1102,S65 4,53,7
1103,YO32 4,1057,24
1104,WF15 8,1999,55
1105,HX4 0,139,17
1106,BD17 5,919,8
1107,BD3 9,451,59
1108,DN6 8,51,10
1109,YO7 1,1333,18
1109,YO7 2,152,16
1110,HG4 3,46,30
1111,DN1 2,410,25
1111,DN2 4,1415,76
1111,DN2 5,104,8
1112,S25 1,117,15
1112,S66 9,27,7
1113,WF12 0,108,13
1115,S36 6,1703,136
1116,LS8 4,833,77
1116,LS8 5,558,72
1117,BD5 9,665,6
1118,WF10 2,971,62
1119,YO62 6,77,17
1120,LS9 0,98,7
1120,LS9 8,182,21
1121,WF11 0,331,21
1121,WF11 8,669,64
1122,BD23 4,227,57
1123,WF1 4,2030,60
1124,S5 7,615,7
1124,S5 8,737,15
1125,HG4 3,130,64
1126,BD19 3,1437,37
1126,BD19 5,275,45
1126,BD19 6,611,15
1127,YO18 7,75,18
1128,LS3 1,234,24
1128,LS4 2,282,12
1128,LS6 1,604,25
1129,HD7 5,390,11
1130,S10 4,32,12
1130,S11 7,104,13
1132,HD7 5,187,6
1133,LS6 3,200,13
1135,LS27 0,337,85
1136,HU3 5,315,9
1136,HU3 6,722,33
1137,HX2 0,1180,36
1138,YO30 5,503,11
1139,BD23 5,79,14
1140,S63 9,1833,97
1141,S1 4,213,68
1141,S3 7,446,46
1142,HU5 3,1285,33
1143,LS27 8,906,17
1143,LS27 9,737,21
1144,BB18 6,890,89
1145,BD2 3,392,25
1145,BD2 4,586,14
1146,S9 1,1404,86
1147,BD24 9,98,11
1148,S73 0,719,14
1149,HD9 4,410,9
1150,YO42 4,95,58
1152,YO17 8,703,11
1152,YO17 9,2352,148
1153,DL6 1,1289,28
1154,BD9 5,589,43
1156,WF1 2,780,30
1157,S61 2,953,35
1158,S5 7,597,11
1159,LS15 4,1069,30
1160,HG1 2,730,50
1160,HG1 3,3008,59
1161,BD1 3,214,128
1161,BD8 7,419,136
1161,BD8 8,196,44
1162,DL10 7,122,14
1163,S5 0,1385,15
1164,HU9 4,600,23
1164,HU9 5,1856,26
1165,WF13 3,506,17
1166,YO13 0,21,13
1167,BD12 7,80,8
1167,BD19 3,297,81
1167,BD19 4,285,42
1168,HG3 1,273,38
1169,BD9 4,277,26
1170,HD3 3,39,9
1171,YO13 9,725,32
1172,YO51 9,69,21
1172,YO61 2,20,8
1173,LS18 4,96,6
1174,WF16 0,72,28
1174,WF16 9,1319,56
1175,YO60 7,31,8
1176,HD7 5,1150,35
1177,LS25 7,1079,6
1178,LS16 6,341,7
1179,HG3 5,146,34
1181,YO31 9,1225,17
1181,YO32 9,62,15
1182,WF2 6,1396,32
1183,DN5 7,190,18
1183,DN5 8,2071,38
1185,S2 5,1055,148
1186,BB18 5,196,15
1186,BB18 6,547,38
1187,S71 5,1080,105
1188,WF9 2,991,23
1189,S62 5,854,22
1189,S62 6,219,13
1191,S36 7,81,9
1191,S36 8,190,6
1191,S36 9,873,24
1192,DN14 7,71,52
1195,S63 0,1299,42
1196,HG3 1,32,13
1196,LS21 2,79,35
1197,S66 8,118,7
1198,S65 4,1239,33
1198,S66 2,125,21
1199,BD10 8,831,46
1199,BD10 9,1022,41
1199,BD2 2,26,9
1200,S66 3,1429,26
1201,YO14 9,1506,245
1202,HD1 6,257,35
1202,HD2 1,136,13
1203,S6 4,1715,41
1204,HD3 4,214,16
1204,HD7 4,807,9
1205,BD23 1,578,17
1206,HD2 1,1468,78
1207,HG2 7,72,13
1207,HG2 8,1379,31
1208,HX2 0,237,11
1208,HX2 7,115,12
1209,LS14 5,2013,23
1210,BD4 0,39,9
1211,HX4 9,424,8
1212,HG5 0,100,11
1213,YO32 2,755,6
1213,YO32 3,508,6
1215,HU5 4,2170,46
1216,BD3 0,855,25
1217,S5 7,85,9
1218,LS6 1,1171,28
1221,LS13 2,558,19
1221,LS13 3,92,10
1222,DN8 4,1070,58
1222,DN8 5,608,163
1223,S8 0,63,83
1223,S8 9,199,22
1224,S17 3,906,9
1225,HX3 5,1284,11
1226,S12 2,56,27
1226,S2 1,512,25
1227,HU9 3,97,9
1227,HU9 4,1726,11
1227,HU9 5,20,11
1228,LS13 2,854,6
1230,S60 2,453,20
1230,S65 2,644,24
1231,WF11 8,962,13
1232,S14 1,502,47
1232,S2 3,1097,11
1233,LS29 6,2069,58
1234,HD4 6,170,11
1235,YO10 4,1431,57
1236,LS12 1,664,44
1236,LS12 2,501,11
1236,LS12 3,625,89
1238,BD21 1,503,101
1238,BD21 3,32,74
1238,BD21 4,295,25
1238,BD21 5,834,112
1239,HG4 4,67,32
1241,S8 0,48,104
1242,LS29 0,967,31
1243,HX2 8,694,14
1244,YO62 7,95,48
1245,BD11 1,338,17
1246,LS22 4,186,6
1247,HU17 0,499,33
1247,HU17 9,444,24
1248,YO32 5,687,21
1248,YO32 9,40,16
1249,HX2 8,769,22
1250,HD8 0,343,12
1252,WF10 3,1788,46
1253,BD14 6,1095,79
1254,BD23 6,120,40
1255,DN6 9,87,9
1256,YO18 8,31,14
1257,HU10 6,1870,67
1258,HX2 7,501,11
1259,HU18 1,2114,215
1260,HD1 3,186,37
1262,WF9 2,1404,140
1263,YO30 6,706,48
1264,YO24 1,1629,41
1265,LS24 9,1104,26
1266,BD8 8,315,16
1266,BD8 9,1148,49
1266,BD9 5,80,36
1267,YO19 6,138,33
1267,YO8 5,99,20
1268,HX1 4,565,18
1268,HX2 0,656,39
1269,HU12 0,225,40
1270,LA2 8,62,10
1271,BD14 6,1067,10
1273,YO62 5,42,15
1274,LS7 3,500,41
1274,LS7 4,106,11
1275,HG1 1,573,579
1275,HG1 2,649,178
1275,HG1 5,647,84
1280,WF11 0,973,19
1282,BD22 0,915,57
1283,BD18 1,565,24
1283,BD18 2,333,8
1286,BD10 0,782,28
1287,S2 3,95,8
1287,S8 9,817,23
1289,BD23 5,115,15
1290,YO11 1,530,274
1290,YO11 2,324,138
1292,WF13 3,788,16
1293,YO31 0,881,14
1294,YO24 4,110,21
1294,YO26 5,3778,62
1294,YO26 6,443,18
1295,LS6 4,704,20
1295,LS7 2,26,8
1297,BD12 0,670,44
1297,BD6 1,530,25
1298,BD19 6,1260,43
1298,HD6 4,68,7
1299,S70 4,1140,22
1300,S63 8,1188,11
1301,LS22 4,165,41
1302,S10 3,627,7
1303,WF2 6,1297,17
1304,S9 1,1433,76
1305,HX6 1,1097,27
1306,WF11 9,998,31
1307,BD5 7,1304,72
1307,BD5 8,1075,51
1308,LS11 6,994,38
1310,LS13 3,1346,36
1311,HD4 7,1361,16
1312,DN14 0,180,9
1313,S13 9,1659,24
1314,WF2 8,767,34
1316,BD3 8,117,9
1316,BD3 9,814,26
1317,S62 6,1762,187
1318,WF8 1,45,232
1318,WF8 4,58,16
1319,LS3 1,768,29
1321,HD4 7,526,35
1322,HU4 6,747,107
1323,WF9 4,1631,60
1323,WF9 5,30,7
1324,LS13 1,86,7
1324,LS13 2,118,7
1325,HU1 2,852,121
1325,HU3 2,193,52
1326,LS28 5,297,19
1327,LS9 9,828,30
1328,S72 8,220,10
1328,S72 9,1068,23
1330,HD8 8,591,22
1332,BD19 3,683,161
1332,BD19 5,766,149
1333,DL11 6,229,16
1334,WF17 7,1151,10
1335,HD7 5,534,23
1336,LS21 2,35,8
1337,LS12 1,250,15
1339,YO19 6,1199,87
1340,YO60 6,218,51
1340,YO61 4,97,24
1341,LS8 5,819,40
1341,LS9 7,69,7
1343,HD7 5,83,8
1345,S13 8,1839,30
1346,YO8 3,1217,78
1347,S4 7,140,10
1347,S4 8,603,14
1347,S5 7,281,22
1348,YO11 3,1263,46
1349,DN12 4,130,8
1350,BD23 5,167,15
1351,WF13 2,731,23
1352,S8 7,1443,215
1354,YO43 3,1044,143
1355,S35 1,362,24
1355,S35 2,670,40
1356,LS5 3,2233,39
1357,S1 4,569,141
1357,S3 7,45,56
1358,YO22 5,652,31
1359,DL6 2,426,99
1360,BD4 0,100,21
1361,HD8 0,221,14
1363,YO21 2,597,100
1364,YO41 1,297,22
1365,DN4 7,693,13
1366,YO14 9,497,8
1368,LS14 1,1142,8
1369,HD8 0,1203,66
1372,WF17 7,569,22
1373,BD21 2,1467,158
1373,BD21 3,36,27
1373,BD21 5,38,28
1374,HU8 0,1636,44
1374,HU8 9,1323,17
1375,HU3 3,202,10
1375,HU3 5,616,57
1375,HU3 6,110,12
1377,HD3 4,908,31
1378,HD8 8,31,6
1379,HX7 5,426,26
1380,LS6 4,676,39
1381,YO22 5,397,48
1382,LS6 2,148,28
1383,DN4 7,2360,33
1384,YO8 3,940,46
1384,YO8 4,94,103
1385,LS7 1,872,13
1386,BD22 9,1004,46
1387,DL6 1,1609,14
1388,HD1 1,109,216
1388,HD1 5,178,83
1389,LS18 5,792,24
1390,S73 0,824,6
1392,YO61 1,1038,160
1393,HU17 8,1186,14
1394,YO42 1,174,33
1395,YO13 9,559,89
1396,HX1 2,425,33
1397,LS13 4,434,9
1398,WF17 8,271,49
1398,WF17 9,447,92
1399,DN10 6,1172,167
1400,YO25 9,1031,156
1401,S7 2,289,23
1401,S8 0,1111,48
1402,HU3 2,1469,88
1403,WF8 3,111,11
1404,WF3 3,442,12
1405,S5 0,1380,12
1406,HU17 7,777,34
1407,YO61 4,122,36
1408,S5 0,77,20
1408,S5 7,1399,22
1410,BD2 4,403,7
1411,BD23 4,653,48
1412,LS18 4,218,17
1412,LS18 5,616,38
1413,DN12 1,1074,14
1415,DN1 2,769,44
1416,DN14 6,970,66
1417,DN11 9,1601,79
1418,HX1 3,290,13
1418,HX1 5,222,22
1419,S35 7,77,9
1421,YO62 5,882,157
1422,YO14 0,142,34
1425,HD4 5,1128,30
1426,YO62 4,493,82
1427,BD20 5,549,10
1428,HD7 6,428,9
1429,S74 9,898,74
1430,DN2 4,1193,25
1430,DN2 5,627,13
1431,HX2 7,1171,18
1433,S70 2,330,34
1433,S70 6,219,12
1433,S75 2,664,21
1434,DL11 7,140,18
1435,HU15 2,380,21
1436,LS14 5,1253,15
1437,YO12 6,1591,65
1437,YO12 7,1608,153
1438,LS26 0,726,13
1439,S4 7,512,22
1440,HX1 2,102,9
1440,HX1 5,355,80
1441,S2 1,1451,44
1442,DL7 0,258,30
1443,WF4 4,176,11
1444,LS15 7,221,8
1444,LS15 8,2126,186
1445,LS25 5,64,12
1446,TS13 5,32,10
1447,LS11 5,374,89
1447,LS11 6,360,10
1447,LS11 7,840,44
1447,LS11 8,472,10
1448,S71 3,983,16
1448,S71 4,800,38
1449,YO14 9,109,8
1450,YO42 4,332,62
1451,S10 1,358,15
1451,S10 2,211,45
1451,S10 5,251,16
1452,HG1 4,1391,12
1452,HG2 7,2792,101
1453,HU7 5,366,21
1454,LS8 4,226,18
1454,LS8 5,690,40
1455,S65 2,992,33
1456,S9 4,50,91
1458,S72 8,1541,29
1459,HG3 2,435,27
1460,DN9 1,229,13
1461,HD7 5,288,6
1462,S75 4,585,13
1463,LS28 5,192,15
1465,DL8 4,158,16
1467,WF6 2,1457,29
1468,HD1 4,1006,81
1469,YO61 4,25,10
1470,LS14 3,412,11
1471,DN9 1,893,100
1472,HU3 6,2694,142
1473,WF12 0,710,15
1473,WF12 9,1495,104
1476,HD9 3,673,6
1477,DN6 8,1251,86
1478,LS17 6,161,22
1478,LS8 1,747,50
1478,LS8 2,647,44
1479,WF1 1,359,202
1480,YO25 8,394,73
1481,DL11 7,184,33
1482,S60 2,384,122
1482,S65 1,296,59
1483,BD4 6,1044,24
1483,BD4 9,28,6
1483,BD5 8,368,8
1484,YO13 0,408,40
1485,YO61 2,21,7
1485,YO7 3,135,35
1486,LS10 3,791,9
1487,HD1 4,884,79
1487,HD2 2,153,8
1487,HD3 3,186,7
1487,HD3 4,71,12
1488,YO17 8,129,21
1489,WF1 5,976,52
1490,DL9 3,302,28
1491,YO62 6,72,20
1492,HD9 1,40,7
1492,HD9 7,21,6
1494,HD6 4,679,48
1494,HX3 8,993,12
1495,HX3 9,773,27
1496,BD13 1,317,9
1497,LS12 2,1313,26
1498,WF10 4,1274,24
1498,WF10 5,245,7
1499,LS6 1,556,24
1500,HU17 0,628,57
1501,YO11 1,1199,336
1502,LS13 1,525,23
1502,LS28 5,997,33
1503,HU8 8,1480,18
1504,HD5 9,1442,20
1505,S35 7,147,34
1506,LS16 5,446,28
1507,S5 6,719,19
1508,DN6 7,803,16
1509,S65 4,674,15
1510,YO19 4,111,21
1510,YO19 6,502,51
1511,S12 2,699,31
1511,S12 3,133,12
1511,S14 1,422,47
1512,LS11 8,1018,45
1513,HG3 2,145,38
1514,DN5 7,1389,35
1515,WF2 8,1519,16
1516,WF13 4,1596,39
1516,WF16 0,196,18
1517,S10 1,1107,13
1518,YO17 7,496,13
1521,LS10 2,791,35
1522,S8 8,1481,24
1523,LA6 3,82,24
1524,HD9 6,1613,131
1525,YO22 4,71,34
1526,HU15 1,126,18
1527,BD9 4,488,24
1528,LS6 3,548,18
1529,YO8 8,315,22
1530,LS8 4,606,46
1531,YO21 1,186,53
1531,YO21 2,263,35
1532,LS17 6,1246,30
1533,BD11 2,891,14
1534,LS29 8,700,42
1535,HU9 4,1829,39
1537,HX1 3,663,28
1537,HX1 4,283,31
1538,S70 3,1432,24
1539,WF8 3,224,8
1540,YO23 2,1374,49
1541,WF13 2,224,39
1541,WF17 5,146,8
1541,WF17 6,325,72
1543,LS9 0,1501,27
1544,LS17 0,157,7
1545,TS13 5,726,51
1546,S6 1,574,94
1547,S13 8,1051,13
1547,S13 9,363,51
1548,HG5 0,1328,159
1548,HG5 8,751,128
1549,S5 8,1425,14
1550,S9 5,772,76
1551,HD7 4,169,9
1552,S74 0,369,6
1552,S74 9,508,35
1553,HU9 4,1564,28
1554,HX7 7,175,59
1554,HX7 8,173,10
1555,WF5 9,80,91
1556,S7 2,777,59
1557,HX4 8,1280,27
1558,HD9 1,624,25
1559,BD4 7,353,15
1560,LS6 4,498,37
1560,LS7 2,226,7
1561,S65 2,1056,30
1562,YO17 8,772,107
1563,WF16 9,1266,20
1564,LS25 7,1028,10
1565,LS16 9,392,33
1566,DN14 0,152,22
1566,DN14 9,1394,81
1568,LS15 7,1409,33
1568,LS15 8,20,6
1569,HD9 2,359,20
1569,HD9 3,212,7
1570,HD3 3,424,15
1570,HD3 4,104,6
1571,YO17 6,316,87
1572,LS17 5,181,7
1572,LS7 3,347,55
1574,YO15 3,80,15
1574,YO25 8,108,22
1576,BD2 3,398,15
1577,LS26 0,547,13
1578,S73 9,1537,32
1579,LS27 0,56,8
1579,LS27 8,428,6
1579,LS27 9,760,59
1580,S35 9,603,54
1580,S5 9,222,7
1581,LS16 5,49,11
1581,LS6 2,369,48
1581,LS6 3,38,9
1581,LS6 4,204,16
1582,LS12 4,534,32
1582,LS12 6,537,55
1584,HD2 1,1389,44
1585,S60 1,466,68
1586,WF5 9,1250,146
1587,YO31 7,1147,145
1587,YO31 8,1337,40
1588,HU12 8,58,14
1588,HU12 9,1289,40
1589,S26 2,693,22
1590,WF1 2,896,28
1591,WF17 5,742,290
1592,BD4 0,882,20
1592,BD4 6,306,29
1592,BD4 9,404,80
1593,LS7 1,786,9
1594,DN8 4,2119,81
1595,DN5 8,321,9
1596,S26 7,739,38
1597,HD4 6,210,28
1598,S70 6,404,9
1599,HD6 3,683,12
1600,YO21 1,820,22
1600,YO21 3,1457,233
1604,LS12 3,1026,47
1605,YO25 3,64,29
1607,BD6 2,369,24
1608,DN9 1,188,11
1609,YO17 7,1308,42
1610,HU5 5,2487,45
1611,WF12 7,1279,30
1611,WF17 6,298,8
1612,S75 4,655,24
1613,HU13 9,406,88
1613,HU4 6,1254,28
1613,HU4 7,625,15
1616,BD11 1,34,16
1616,LS27 7,1095,11
1617,BD23 1,1318,210
1618,LS27 0,68,9
1618,WF12 7,75,17
1618,WF3 1,1658,19
1619,WF12 9,1128,227
1620,LS11 5,704,38
1621,HG3 2,37,31
1622,LS13 3,1143,23
1623,BD13 2,1387,25
1625,HU11 4,256,41
1625,HU11 5,179,48
1626,DN6 7,908,10
1627,LS23 6,1294,106
1629,YO30 1,346,78
1629,YO30 2,525,31
1629,YO61 1,382,71
1630,LS13 1,923,34
1631,DL10 6,305,51
1632,LS17 6,574,21
1632,LS8 1,573,15
1633,DN5 7,84,17
1634,HD2 1,600,12
1634,HD2 2,330,14
1635,S6 4,1138,23
1636,LS12 2,171,39
1638,LS17 7,809,7
1638,LS17 8,325,12
1639,LS15 0,1065,19
1640,HD9 3,347,7
1641,DL10 4,83,18
1641,DL10 7,448,27
1642,WF13 2,470,46
1643,LS18 4,562,104
1643,LS18 5,121,47
1644,HX6 4,440,29
1645,LS28 6,296,103
1645,LS28 7,1068,23
1646,HD7 6,900,56
1647,S35 0,1291,36
1648,BD11 1,1064,49
1649,BD16 3,2357,39
1649,BD16 4,739,10
1650,HU9 2,1722,24
1651,HU10 6,406,42
1651,HU10 7,728,18
1652,YO11 3,109,32
1652,YO14 9,168,15
1653,S3 9,521,32
1654,LS11 7,620,13
1655,LS25 5,402,20
1656,YO8 9,805,27
1658,HG1 2,1282,64
1658,HG2 0,907,89
1659,YO12 6,1380,33
1660,YO26 6,1882,194
1661,BD18 3,319,16
1661,BD18 4,1285,12
1662,LS20 9,1313,68
1663,WF16 9,447,9
1663,WF17 9,46,7
1664,LS28 5,920,15
1665,S17 3,737,27
1666,WF10 5,1258,58
1668,YO25 9,97,36
1669,HX5 9,1168,80
1670,S70 5,1613,60
1671,S70 1,762,70
1671,S70 3,504,10
1672,DL10 4,962,22
1673,S64 0,1203,15
1674,YO16 4,948,9
1675,BD13 1,1048,41
1676,DN4 5,989,20
1677,DN4 0,44,38
1677,DN4 8,770,13
1678,YO61 3,160,18
1678,YO61 4,160,22
1679,BD22 8,955,95
1680,LS23 6,829,8
1681,WF15 6,364,12
1683,BD23 2,1167,82
1684,HX3 7,960,54
1685,DN14 6,946,141
1687,HU17 7,1626,15
1688,WF17 7,254,8
1688,WF17 8,491,57
1689,LS26 0,522,93
1690,S71 2,965,20
1690,S71 5,270,39
1691,BD10 0,249,10
1691,BD2 2,325,18
1692,LS11 0,1214,13
1693,HU12 0,419,42
1694,WF2 8,1282,12
1695,S71 1,749,87
1696,S9 1,1251,33
1697,DL8 3,230,42
1698,HD1 6,274,57
1699,HU11 4,661,53
1702,S71 4,1926,75
1703,S65 3,190,6
1704,HD1 3,209,52
1704,HD4 6,258,6
1705,WF1 5,668,49
1705,WF2 6,73,8
1706,WF5 0,1544,45
1708,WF11 0,645,9
1708,WF11 8,767,44
1709,S2 2,642,43
1709,S2 3,892,161
1710,WF1 2,84,28
1711,HG3 1,144,33
1712,LS26 0,848,19
1712,WF3 3,452,8
1713,LS24 8,82,23
1714,LS14 6,552,6
1715,LS19 7,285,21
1716,YO19 5,83,42
1716,YO41 1,122,31
1716,YO60 7,84,16
1717,WF9 3,1382,67
1718,S10 1,1271,28
1719,S75 3,50,9
1720,HU7 0,384,26
1720,HU8 8,721,24
1721,HU12 0,341,70
1722,WF12 0,43,17
1724,S10 3,723,28
1724,S10 4,775,19
1725,HX1 5,1187,131
1726,YO24 3,594,8
1727,S74 0,1688,69
1728,HU12 8,2776,136
1729,YO43 4,1258,170
1730,DN6 0,1008,19
1731,LS10 4,806,13
1732,BD20 8,470,22
1733,LS25 5,182,10
1735,HD8 8,270,21
1736,HD7 5,164,113
1737,WF5 8,563,9
1738,HU9 3,464,14
1738,HU9 5,492,6
1739,S5 9,1760,20
1740,BD4 6,151,36
1740,BD4 7,117,34
1740,BD4 9,138,34
1741,YO7 4,510,54
1742,S2 3,24,11
1743,WF3 4,392,8
1744,DN17 4,151,13
1745,YO12 7,1433,75
1746,HD9 2,663,28
1747,HX5 0,684,29
1747,HX5 9,347,39
1749,LS29 8,569,10
1750,YO7 4,105,15
1751,LS11 8,607,6
1752,WF7 5,1225,41
1752,WF7 6,641,15
1754,S60 5,834,18
1757,BD4 7,1501,62
1758,YO17 7,147,22
1759,LS17 9,194,10
1760,S70 3,382,82
1760,S71 5,265,10
1760,S73 8,179,10
1762,S63 6,917,16
1764,HU7 4,2521,109
1765,WF11 0,675,9
1766,LS12 3,44,28
1766,LS12 4,1777,90
1767,HU12 8,476,64
1768,YO51 9,490,24
1769,LS27 0,144,6
1769,LS27 9,543,45
1771,LS12 2,834,11
1772,DN6 0,56,29
1773,S61 1,618,21
1773,S61 2,357,9
1774,HX7 8,679,22
1776,DN7 5,1605,80
1777,S25 2,1037,142
1778,HX2 6,246,6
1778,HX6 2,658,21
1779,S17 3,1279,35
1780,DL10 7,27,12
1780,DL9 4,1742,101
1781,BD23 5,157,21
1783,HX4 8,798,68
1784,YO25 3,95,16
1785,S5 6,1252,100
1786,S17 4,1377,41
1787,BD8 7,768,24
1788,LS26 8,382,11
1789,S2 4,284,89
1791,BD7 2,2379,128
1792,BD3 7,436,25
1792,BD3 8,644,91
1793,YO13 0,47,22
1794,DN5 9,335,18
1795,BD9 6,1179,22
1796,HG5 0,24,9
1796,YO26 8,91,11
1797,OL14 7,199,33
1798,YO13 0,71,35
1799,DN9 3,1625,86
1800,LS18 5,959,74
1801,S35 3,136,19
1801,S35 4,1669,42
1802,BD20 6,305,18
1803,HX6 1,330,18
1803,HX6 2,68,14
1803,HX6 3,619,107
1804,S36 4,46,9
1805,S2 4,150,37
1805,S7 1,271,40
1805,S8 0,372,13
1806,BD10 0,1099,14
1806,BD2 3,286,26
1807,YO14 0,79,38
1807,YO14 9,75,13
1808,YO8 9,660,6
1809,DL8 4,83,27
1809,DL8 5,27,7
1810,DL6 2,123,69
1811,S66 1,225,9
1811,S66 2,2510,24
1812,BD18 1,1378,22
1813,S9 4,1462,17
1814,DN1 3,398,8
1815,YO8 9,1293,15
1816,BD13 3,431,9
1816,BD15 7,1814,70
1816,BD8 0,608,20
1817,YO18 8,102,93
1818,HU7 5,803,17
1819,HU6 7,1586,99
1820,S63 9,923,71
1822,DN17 4,1448,88
1823,YO11 1,287,60
1823,YO12 7,536,82
1824,DL8 4,24,7
1825,YO23 1,1428,18
1826,HU16 5,404,12
1827,YO17 9,151,53
1827,YO41 1,41,13
1827,YO60 7,181,43
1828,DN14 7,274,59
1829,LS4 2,51,80
1830,BB18 5,465,9
1831,BD1 2,35,54
1831,BD7 1,156,186
1832,BD15 0,1603,83
1833,HU15 2,857,38
1834,WF9 1,1402,43
1834,WF9 2,186,24
1835,YO12 4,85,36
1835,YO17 8,522,79
1837,BD22 0,227,6
1837,BD22 6,1457,9
1838,BD3 9,212,60
1839,DN6 7,729,16
1840,YO1 6,978,146
1841,WF3 4,2238,52
1842,YO62 5,24,20
1844,HU8 0,1963,26
1845,BD3 7,660,30
1846,WF10 2,614,14
1847,LS9 8,31,16
1847,LS9 9,932,16
1848,BD21 5,229,10
1848,BD22 8,372,12
1848,BD22 9,418,23
1849,S70 2,454,47
1849,S75 1,394,8
1850,LS15 7,461,8
1850,LS15 8,1398,26
1851,BD12 8,592,23
1852,HD7 5,388,24
1853,S61 3,1322,27
1854,HD9 4,454,29
1854,HD9 5,571,33
1855,YO21 2,64,9
1856,YO51 9,143,16
1857,BD10 0,21,7
1857,BD10 9,321,35
1858,HG3 5,561,93
1859,S62 7,70,7
1860,BD16 1,1402,31
1861,HD8 8,30,13
1862,BD16 1,421,8
1864,S71 3,1202,14
1865,HG3 3,157,13
1866,S66 8,378,26
1867,HD6 4,134,6
1868,YO21 1,23,8
1868,YO21 3,68,23
1869,WF10 1,35,55
