DMA,Sector,Household,Non-household
218,BD20 9,474,6
219,S2 1,280,11
219,S2 5,1069,18
220,HU8 7,243,63
221,S61 1,700,15
222,YO15 2,916,81
222,YO16 6,381,6
222,YO16 7,1306,24
224,BD20 0,2589,152
224,BD20 9,937,41
225,HU11 4,88,19
225,HU12 0,37,23
225,HU12 8,61,19
225,HU12 9,91,31
226,YO8 5,357,12
226,YO8 6,517,54
227,WF5 0,93,7
227,WF5 8,465,32
228,WF9 2,805,11
229,HG3 3,275,23
230,S10 3,1297,64
230,S11 7,625,46
231,YO31 0,777,19
232,S25 4,731,6
234,S72 0,407,20
235,S70 6,1106,73
236,DL8 2,143,25
236,HG4 5,142,21
237,HD7 5,463,19
238,S73 0,391,39
238,S73 8,333,8
240,WF9 1,1368,25
241,HD4 6,300,11
241,HD4 7,1089,22
243,YO16 4,574,80
243,YO16 7,247,17
244,BD21 4,1148,18
245,S75 2,510,13
246,HG1 3,188,6
246,HG1 4,2547,49
247,LS26 8,232,6
247,WF10 2,588,12
248,DL8 2,222,39
249,YO22 5,69,33
250,BD3 0,1061,42
251,YO25 9,220,19
252,HD6 3,902,22
253,HG2 0,549,20
253,HG2 9,541,29
253,HG3 1,167,59
254,S17 4,762,19
255,WF1 5,79,7
255,WF6 1,654,6
256,DN4 0,527,33
257,YO43 3,578,32
258,LS12 5,179,21
258,LS12 6,47,8
259,YO17 6,115,55
260,BD24 0,129,18
260,BD24 9,1137,168
261,BD22 0,65,12
261,BD22 7,982,15
262,S60 4,232,12
262,S65 3,696,15
262,S66 1,1283,67
262,S66 2,628,41
263,YO22 4,1283,74
263,YO22 5,44,19
264,HD5 0,1139,33
264,WF14 8,416,14
266,WF12 0,787,17
269,YO24 1,188,68
269,YO24 4,871,41
270,YO17 9,194,39
272,S66 9,1174,52
273,HX2 9,546,17
274,HD8 9,437,8
275,HX7 6,233,61
275,HX7 8,222,133
277,DN11 0,2680,149
278,S36 1,1290,15
279,LS13 2,1898,82
280,YO61 4,113,21
280,YO7 2,78,16
281,BD5 0,84,6
281,BD5 9,658,45
281,BD7 3,389,22
282,BD20 6,145,13
282,BD21 3,20,11
283,S66 7,1168,38
284,BD22 6,777,13
285,S81 8,898,42
286,HU3 1,1963,132
288,DN5 7,152,27
291,BD2 1,1033,16
293,S66 2,521,10
293,S66 8,337,16
294,YO11 3,166,33
295,WF2 9,817,14
297,S62 7,1785,36
298,HD6 1,659,490
299,S36 1,164,43
299,S36 2,642,66
300,LS8 2,1169,41
301,LS25 7,74,16
